City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
44,sancti spiritus,21.9297,-79.4425,74.71,90,96,2.33,CU,1635044207
45,klaksvik,62.2266,-6.589,49.12,90,100,13.47,FO,1635043832
46,avarua,-21.2078,-159.775,75.25,53,75,5.75,CK,1635043758
47,novyy urengoy,66.0833,76.6333,27.01,91,100,13.38,RU,1635044208
48,san vicente,-26.6167,-54.1333,60.64,99,100,1.81,AR,1635044208
49,cidreira,-30.1811,-50.2056,64.87,93,100,8.16,BR,1635043715
50,alvaraes,-3.2208,-64.8042,76.84,88,58,2.48,BR,1635044208
51,new norfolk,-42.7826,147.0587,53.92,62,100,3.0,AU,1635044209
52,san cristobal,7.7669,-72.225,71.78,98,100,2.21,VE,1635044209
53,port elizabeth,-33.918,25.5701,55.69,76,0,12.66,ZA,1635044209
54,lucapa,-8.4192,20.7447,64.45,91,94,1.59,AO,1635044210
55,hilo,19.7297,-155.09,80.33,70,20,8.05,US,1635043661
56,namibe,-15.1961,12.1522,63.55,73,78,5.3,AO,1635043652
57,torres,-29.3353,-49.7269,67.82,92,100,3.27,BR,1635044024
58,charters towers,-20.1,146.2667,95.7,26,46,12.71,AU,1635044210
59,chuy,-33.6971,-53.4616,54.07,95,41,7.74,UY,1635043665
60,marsa matruh,31.3525,27.2453,64.6,72,40,5.75,EG,1635044053
61,vaini,-21.2,-175.2,78.96,73,20,9.22,TO,1635043745
62,lebedinyy,58.5167,125.5167,34.79,88,100,13.13,RU,1635044211
63,ribeira grande,38.5167,-28.7,67.08,63,64,11.14,PT,1635044211
64,polunochnoye,60.8697,60.4153,35.69,83,99,4.76,RU,1635044211
65,ostrovnoy,68.0531,39.5131,24.71,90,76,17.78,RU,1635043819
66,lebu,-37.6167,-73.65,48.81,93,13,5.59,CL,1635043716
67,skjervoy,70.0311,20.9714,39.6,50,94,12.77,NO,1635044212
68,salalah,17.0151,54.0924,73.49,68,0,5.75,OM,1635043742
69,zhaotong,27.3167,103.7167,46.2,96,100,2.64,CN,1635044212
70,susangerd,31.5608,48.1831,60.82,22,0,5.99,IR,1635044212
71,hobart,-42.8794,147.3294,54.27,70,75,4.0,AU,1635043721
72,xuddur,4.1213,43.8894,71.28,93,2,8.61,SO,1635044213
73,harper,4.375,-7.7169,76.8,88,89,5.84,LR,1635044213
74,georgetown,5.4112,100.3354,87.73,78,20,3.0,MY,1635043491
75,wanning,18.8003,110.3967,76.32,76,85,16.15,CN,1635043770
76,bredasdorp,-34.5322,20.0403,49.32,81,69,4.61,ZA,1635043730
77,butaritari,3.0707,172.7902,81.21,72,40,7.81,KI,1635043726
78,pemberton,50.3164,-122.8027,46.26,93,100,2.93,CA,1635044000
79,kavieng,-2.5744,150.7967,85.66,68,18,12.19,PG,1635043810
80,airai,-8.9266,125.4092,81.86,33,25,1.81,TL,1635043689
81,panguma,8.1833,-11.1333,69.94,100,100,0.65,SL,1635044214
82,pacific grove,36.6177,-121.9166,61.14,81,100,1.99,US,1635044214
83,kapaa,22.0752,-159.319,84.18,78,40,1.01,US,1635043648
84,esperance,-33.8667,121.9,73.24,39,15,12.55,AU,1635043771
85,nsoko,-27.0333,31.95,72.66,69,100,14.23,SZ,1635044215
86,puerto ayora,-0.7393,-90.3518,68.88,89,79,7.85,EC,1635044215
87,ife,7.4667,4.5667,69.35,99,90,1.36,NG,1635044215
88,corpus christi,27.8006,-97.3964,80.6,86,40,10.0,US,1635044216
89,bubaque,11.2833,-15.8333,82.44,74,100,6.11,GW,1635043712
90,wakkanai,45.4094,141.6739,58.98,58,20,21.85,JP,1635044216
91,ponta do sol,32.6667,-17.1,70.43,65,15,6.06,PT,1635044216
92,sur,22.5667,59.5289,81.3,59,1,7.31,OM,1635044216
93,lorengau,-2.0226,147.2712,85.37,68,98,9.4,PG,1635043758
94,nanortalik,60.1432,-45.2371,35.17,67,26,22.64,GL,1635043785
95,touros,-5.1989,-35.4608,79.7,80,68,12.3,BR,1635043722
